name,lat,lng,type,county,address,source
Cuan Mhuire Bruree,52.4582,-8.672,residential,Limerick,"Bruree, Co. Limerick",curated_public_records
Milford Care Centre Addiction Services,52.6724,-8.5917,outpatient,Limerick,"Castletroy, Limerick",curated_public_records
Bushypark Treatment Centre,53.2744,-9.0596,residential,Galway,"Ennis Rd, Galway",curated_public_records
Galway City Community Addiction Service,53.2743,-9.0547,community,Galway,Galway City,curated_public_records
Cuan Mhuire Coolarne,53.5215,-8.8463,residential,Galway,"Coolarne, Tuam, Co. Galway",curated_public_records
Western Region Drug Task Force Services,53.2721,-9.0615,community,Galway,Galway,curated_public_records
Aiséirí Treatment Centre Cahir,52.3748,-7.9219,residential,Tipperary,"Cahir, Co. Tipperary",curated_public_records
Aiséirí Wexford,52.3407,-6.4659,residential,Wexford,Wexford Town,curated_public_records
Nenagh Addiction Service,52.8613,-8.1972,outpatient,Tipperary,"Nenagh, Co. Tipperary",curated_public_records
Clonmel Addiction Service,52.3547,-7.7045,outpatient,Tipperary,"Clonmel, Co. Tipperary",curated_public_records
Talbot Grove Treatment Centre,52.2299,-9.4549,residential,Kerry,"Castleisland, Co. Kerry",curated_public_records
Kerry Addiction Service Tralee,52.2674,-9.7034,outpatient,Kerry,"Tralee, Co. Kerry",curated_public_records
Kerry Addiction Service Killarney,52.0562,-9.5044,outpatient,Kerry,"Killarney, Co. Kerry",curated_public_records
Cuan Mhuire Waterford,52.2521,-7.1076,residential,Waterford,Waterford City,curated_public_records
Waterford Community Addiction Team,52.256,-7.1102,community,Waterford,Waterford City,curated_public_records
Dungarvan Addiction Service,52.0888,-7.6236,outpatient,Waterford,"Dungarvan, Co. Waterford",curated_public_records
Teen Challenge Ireland,52.6527,-7.2424,residential,Kilkenny,Kilkenny,curated_public_records
Kilkenny Community Addiction Service,52.6503,-7.2506,community,Kilkenny,Kilkenny City,curated_public_records
Wexford Community Drug and Alcohol Team,52.3368,-6.4631,community,Wexford,Wexford Town,curated_public_records
Tiglin Challenge Centre,52.9871,-6.0889,residential,Wicklow,"Ashford, Co. Wicklow",curated_public_records
Wicklow Community Drug and Alcohol Team,52.9805,-6.0444,community,Wicklow,Wicklow Town,curated_public_records
Cuan Mhuire Athy,52.992,-6.9842,residential,Kildare,"Athy, Co. Kildare",curated_public_records
Kildare Community Addiction Service,53.1571,-6.9126,community,Kildare,"Naas, Co. Kildare",curated_public_records
Leixlip Drug and Alcohol Service,53.3637,-6.495,community,Kildare,"Leixlip, Co. Kildare",curated_public_records
Meath Community Drug and Alcohol Service,53.6541,-6.6863,community,Meath,"Navan, Co. Meath",curated_public_records
Drogheda Addiction Service,53.7197,-6.3567,community,Louth,"Drogheda, Co. Louth",curated_public_records
Dundalk Community Addiction Team,54.0016,-6.4033,community,Louth,"Dundalk, Co. Louth",curated_public_records
Clare Addiction Service Ennis,52.8449,-8.9862,outpatient,Clare,"Ennis, Co. Clare",curated_public_records
Mayo Community Addiction Service Castlebar,53.8572,-9.2965,community,Mayo,"Castlebar, Co. Mayo",curated_public_records
Ballina Drug and Alcohol Service,54.1143,-9.1591,community,Mayo,"Ballina, Co. Mayo",curated_public_records
Donegal Addiction Services Letterkenny,54.9458,-7.7361,outpatient,Donegal,"Letterkenny, Co. Donegal",curated_public_records
Donegal Addiction Services Ballyshannon,54.5005,-8.1875,outpatient,Donegal,"Ballyshannon, Co. Donegal",curated_public_records
Sligo Community Drug and Alcohol Team,54.2766,-8.4762,community,Sligo,Sligo Town,curated_public_records
Roscommon Addiction Services,53.6289,-8.1819,outpatient,Roscommon,Roscommon Town,curated_public_records
Longford Community Drug and Alcohol Team,53.7265,-7.7939,community,Longford,Longford Town,curated_public_records
Athlone Addiction Service,53.4239,-7.9407,community,Westmeath,"Athlone, Co. Westmeath",curated_public_records
Mullingar Addiction Service,53.5228,-7.3466,community,Westmeath,"Mullingar, Co. Westmeath",curated_public_records
Offaly Community Addiction Service,53.2743,-7.4918,community,Offaly,"Tullamore, Co. Offaly",curated_public_records
Laois Community Addiction Service,53.0344,-7.2988,community,Laois,"Portlaoise, Co. Laois",curated_public_records
Carlow Community Drug and Alcohol Team,52.834,-6.9337,community,Carlow,Carlow Town,curated_public_records
Monaghan Addiction Services,54.2513,-6.968,outpatient,Monaghan,Monaghan Town,curated_public_records
Cavan Addiction Services,53.9897,-7.3633,outpatient,Cavan,Cavan Town,curated_public_records
Leitrim Drug and Alcohol Service,53.9453,-8.0831,community,Leitrim,Carrick-on-Shannon,curated_public_records
Midwest Simon Community Addiction Services,52.6649,-8.6294,harm_reduction,Limerick,Limerick City,curated_public_records
Depaul Ireland Dublin,53.3463,-6.2591,harm_reduction,Dublin,Dublin 1,curated_public_records
